repeat,fold,model,n_masked,auprc,auroc
1,2,wrist_only_channels,50,0.18389039291260292,0.47739745811669554
1,3,none (baseline),0,0.5795143983265747,0.7804770318021201
1,3,drop hr,7,0.5537882247531277,0.8019729093050647
1,3,drop rr,7,0.5396720798784754,0.7779740871613664
1,3,drop spo2,7,0.5437302951910025,0.8387073027090695
1,3,drop sbp,7,0.5742934249476118,0.69486160188457
1,3,drop map,7,0.5892624495817949,0.8155918727915193
1,3,drop temp_c,7,0.558730805533711,0.7757656065959954
1,3,drop gcs_total,7,0.49506691364394767,0.8286219081272086
1,3,drop fio2,7,0.4819796444209773,0.7596436984687869
1,3,drop glucose,7,0.5728697007008736,0.7647968197879859
1,3,post_discharge_realistic,22,0.3732704944361906,0.7204063604240283
1,3,wrist_only_channels,50,0.26203601824996375,0.6126325088339222
1,4,none (baseline),0,0.42725760758131337,0.801056338028169
1,4,drop hr,7,0.40571735989669183,0.8080985915492959
1,4,drop rr,7,0.414699946534561,0.7789025821596244
1,4,drop spo2,7,0.3580756532866815,0.7040786384976526
1,4,drop sbp,7,0.40608739290172974,0.7797828638497653
1,4,drop map,7,0.4233078455690632,0.8064113849765258
1,4,drop temp_c,7,0.40638646064182643,0.8103726525821596
1,4,drop gcs_total,7,0.40275703309235433,0.8345070422535212
1,4,drop fio2,7,0.3535985221138618,0.7842576291079812
1,4,drop glucose,7,0.41785792304316594,0.8067781690140845
1,4,post_discharge_realistic,22,0.3791686068014387,0.8249706572769954
1,4,wrist_only_channels,50,0.22678977225205268,0.7443148474178405
2,0,none (baseline),0,0.43302454797921724,0.8187865497076023
2,0,drop hr,7,0.46302990797388033,0.8222953216374269
2,0,drop rr,7,0.42387738489243615,0.7261695906432748
2,0,drop spo2,7,0.41817900756911386,0.758625730994152
2,0,drop sbp,7,0.4250694951027417,0.7547514619883042
2,0,drop map,7,0.33374335640148256,0.8178362573099416
2,0,drop temp_c,7,0.4490677284526461,0.8343567251461989
2,0,drop gcs_total,7,0.49132647931662116,0.881359649122807
2,0,drop fio2,7,0.4073066120743479,0.8120614035087719
