model,repeat,fold,auroc,auprc,n_test,n_pos_test
lace_plus (parsimonious),9,3,0.6260162601626016,0.28843941024112896,53,12
lace_plus (parsimonious),9,4,0.5170731707317073,0.20415777230432403,51,10
lace_plus (parsimonious),10,0,0.532150776053215,0.2736107291371577,52,11
lace_plus (parsimonious),10,1,0.63,0.27058056779880735,50,10
lace_plus (parsimonious),10,2,0.45634920634920634,0.21842334012325504,54,12
lace_plus (parsimonious),10,3,0.6552631578947369,0.36697157914549217,48,10
lace_plus (parsimonious),10,4,0.5236842105263158,0.2618620194270401,48,10
lace_plus (parsimonious),11,0,0.45454545454545453,0.19954025101705594,52,11
lace_plus (parsimonious),11,1,0.6447368421052632,0.26869002357795463,48,10
lace_plus (parsimonious),11,2,0.6332737030411449,0.34675003134517307,56,13
lace_plus (parsimonious),11,3,0.7013157894736843,0.39614399679498186,48,10
lace_plus (parsimonious),11,4,0.4871794871794872,0.19285373038794718,48,9
lace_plus (parsimonious),12,0,0.5743589743589743,0.24895563941599747,49,10
lace_plus (parsimonious),12,1,0.565,0.33199554069119286,50,10
lace_plus (parsimonious),12,2,0.48170731707317077,0.29824328211235784,53,12
lace_plus (parsimonious),12,3,0.535,0.23878853696694777,50,10
lace_plus (parsimonious),12,4,0.6433566433566433,0.32637844387451,50,11
lace_plus (parsimonious),13,0,0.5634146341463415,0.2267359431524879,51,10
lace_plus (parsimonious),13,1,0.43452380952380953,0.20301238614438238,54,12
lace_plus (parsimonious),13,2,0.6717948717948717,0.3947095305159821,49,10
lace_plus (parsimonious),13,3,0.6081081081081081,0.3682261414614355,47,10
lace_plus (parsimonious),13,4,0.46818181818181825,0.20887047234532063,51,11
lace_plus (parsimonious),14,0,0.5612535612535613,0.31234771604848643,48,9
lace_plus (parsimonious),14,1,0.5590909090909091,0.26782729465656296,51,11
lace_plus (parsimonious),14,2,0.5216450216450217,0.22459361756401924,53,11
lace_plus (parsimonious),14,3,0.68125,0.4673832519308862,52,12
lace_plus (parsimonious),14,4,0.3105263157894737,0.1615131374133822,48,10
lace_plus (parsimonious),15,0,0.4878048780487805,0.20751114504965595,51,10
lace_plus (parsimonious),15,1,0.6038461538461538,0.4248907922037116,53,13
lace_plus (parsimonious),15,2,0.36923076923076925,0.16889850978280294,49,10
lace_plus (parsimonious),15,3,0.4305555555555556,0.18286403913461197,49,9
lace_plus (parsimonious),15,4,0.5547785547785548,0.2981637417447661,50,11
lace_plus (parsimonious),16,0,0.4675,0.2392780657262551,50,10
lace_plus (parsimonious),16,1,0.4781746031746032,0.21826930869799271,54,12
lace_plus (parsimonious),16,2,0.577922077922078,0.31681114788857623,53,11
lace_plus (parsimonious),16,3,0.6736842105263158,0.3066067266067266,48,10
lace_plus (parsimonious),16,4,0.7081081081081081,0.3959778123758633,47,10
lace_plus (parsimonious),17,0,0.5119047619047619,0.22708871521498153,54,12
lace_plus (parsimonious),17,1,0.4700854700854701,0.18474985053932425,48,9
lace_plus (parsimonious),17,2,0.5349999999999999,0.260464283666683,50,10
lace_plus (parsimonious),17,3,0.6289473684210527,0.49191642638466593,48,10
lace_plus (parsimonious),17,4,0.5416666666666667,0.2837526114474273,52,12
lace_plus (parsimonious),18,0,0.5463414634146342,0.24627515127515132,51,10
lace_plus (parsimonious),18,1,0.7110694183864915,0.40648299389533604,54,13
lace_plus (parsimonious),18,2,0.5289473684210526,0.31297718356938753,48,10
lace_plus (parsimonious),18,3,0.6333333333333333,0.349034614034614,49,10
lace_plus (parsimonious),18,4,0.3925,0.1712039780321247,50,10
lace_plus (parsimonious),19,0,0.6128205128205129,0.31115636739760166,49,10
lace_plus (parsimonious),19,1,0.5304878048780488,0.2435597374959804,53,12
lace_plus (parsimonious),19,2,0.3829268292682927,0.16478927456559034,51,10
lace_plus (parsimonious),19,3,0.2743589743589744,0.15160590842619084,49,10
lace_plus (parsimonious),19,4,0.5699300699300699,0.26344536123146145,50,11
without demographics,0,0,0.48048780487804876,0.1961096927121268,51,10
without demographics,0,1,0.3871794871794872,0.17744220714464826,49,10
without demographics,0,2,0.5325,0.30276489546789886,50,10
without demographics,0,3,0.5426829268292683,0.26323209588121327,53,12
without demographics,0,4,0.5191387559808612,0.36359419964141015,49,11
without demographics,1,0,0.515,0.20471295760769442,50,10
without demographics,1,1,0.4682926829268293,0.19031918808579146,51,10
without demographics,1,2,0.4128205128205128,0.2766682805212217,49,10
without demographics,1,3,0.6643356643356644,0.5352471087075193,50,11
without demographics,1,4,0.44375,0.21417782880778402,52,12
without demographics,2,0,0.6138211382113821,0.33642977317462114,53,12
